rank,technology,priority_score,adoption_growth_pp,cross_role_prevalence,salary_association,senior_role_prevalence
1,Databricks,0.7564417086697296,20.372137404580148,1.0,0.0,0.6474291836565367
2,S3,0.5515176502263821,9.043086996578053,0.9333333333333332,0.0,0.7498299105109818
3,Amazon Aurora ou RDS,0.5494412049611103,1.1540866017373004,0.9333333333333332,0.39998000099995,0.8796058082239567
4,SQLite,0.5467757057908296,7.406143063964199,1.0,0.0,0.5937072503419971
5,Redis,0.5321679555012888,2.32297973150829,0.8,0.39998000099995,1.2273914983111338
6,PostgreSQL,0.4882436396171336,6.989092524348512,0.9333333333333332,0.0,0.5585962559518244
7,Google BigQuery,0.4836511833253825,8.684851276651761,0.8666666666666667,0.0,0.6524411486587367
8,DynamoDB,0.4835354162730397,2.1440675177678297,0.8,0.39998000099995,0.9486173422331992
9,Amazon Athena,0.481405941484094,4.012569097130831,0.9333333333333332,0.0,0.7972745193269148
10,ElasticSearch,0.4794239633997994,-0.0460647538825999,0.8,0.39998000099995,1.129828069046266
11,MongoDB,0.4643698402532816,3.152145301395111,0.9333333333333332,0.0,0.7747280647833872
12,Snowflake,0.4543292655429468,5.66431955777836,0.8666666666666667,0.0,0.7585897274624028
13,Google Firestore,0.4391894850667591,0.3644051066069999,0.8666666666666667,0.39998000099995,0.5651940258402562
14,Firebase,0.4341725034139464,-0.2932515135561999,0.9333333333333332,0.0,0.9155566885475748
15,Hive,0.41851195166798,-1.14873979994735,0.8666666666666667,0.199990000499975,0.882145816072908
16,SQL SERVER,0.4176635210626371,-0.3438404843379761,1.0,0.0,0.538550053463061
17,MySQL,0.4166936469156633,0.3516550408002028,1.0,0.0,0.4671730956266815
18,Amazon Redshift,0.4158287925571305,-1.1018524611739895,0.8,0.39998000099995,0.8426602395119378
19,Oracle,0.399855093952023,0.4339135298762786,0.9333333333333332,0.0,0.6384909168064338
20,Neo4J,0.3807294042169157,0.4536555672545401,0.6,0.599970001499925,1.0269262634631315
21,MariaDB,0.3643923212840881,0.6239306396420098,0.8666666666666667,0.0,0.6864535630070013
22,Cassandra,0.3532106822609443,-0.1850816004211601,0.6,0.39998000099995,1.21996685998343
23,SAP HANA,0.3397445592863114,1.1808206106870205,0.8,0.0,0.7656152120758987
24,DB2,0.3370074370965225,1.21989339299816,0.8,0.0,0.7452985438821484
25,Presto,0.3267321466064912,-0.3273887865227705,0.7333333333333333,0.199990000499975,0.8097555923777962
26,Microsoft Access,0.3081017980432103,0.0374276125296196,1.0,-0.2999850007499625,0.2869373101353216
27,Firebird,0.0273483038700428,0.6169386680705401,0.6,-0.2999850007499625,0.2142876232728439
